bin_0_1.6200,bin_1_4.8600,bin_2_8.1000,bin_3_11.3400,bin_4_14.5800,bin_5_17.8200,bin_6_21.0600,bin_7_24.3000,bin_8_27.5400,bin_9_30.7800,bin_10_34.0200,bin_11_37.2600,bin_12_40.5000,bin_13_43.7400,bin_14_46.9800,bin_15_50.2200,bin_16_53.4600,bin_17_56.7000,bin_18_59.9400,bin_19_63.1800,bin_20_66.4200,bin_21_69.6600,bin_22_72.9000,bin_23_76.1400,bin_24_79.3800,bin_25_82.6200,bin_26_85.8600,bin_27_89.1000,bin_28_92.3400,bin_29_95.5800,bin_30_98.8200,bin_31_102.0600,bin_32_105.3000,bin_33_108.5400,bin_34_111.7800,bin_35_115.0200,bin_36_118.2600,bin_37_121.5000,bin_38_124.7400,bin_39_127.9800,bin_40_131.2200,bin_41_134.4600,bin_42_137.7000,bin_43_140.9400,bin_44_144.1800,bin_45_147.4200,bin_46_150.6600,bin_47_153.9000,bin_48_157.1400,bin_49_160.3800,bin_50_163.6200,bin_51_166.8600,bin_52_170.1000,bin_53_173.3400,bin_54_176.5800,bin_55_179.8200,bin_56_183.0600,bin_57_186.3000,bin_58_189.5400,bin_59_192.7800,bin_60_196.0200,bin_61_199.2600,bin_62_202.5000,bin_63_205.7400,bin_64_208.9800,bin_65_212.2200,bin_66_215.4600,bin_67_218.7000,bin_68_221.9400,bin_69_225.1800,bin_70_228.4200,bin_71_231.6600,bin_72_234.9000,bin_73_238.1400,bin_74_241.3800,bin_75_244.6200,bin_76_247.8600,bin_77_251.1000,bin_78_254.3400,bin_79_257.5800,bin_80_260.8200,bin_81_264.0600,bin_82_267.3000,bin_83_270.5400,bin_84_273.7800,bin_85_277.0200,bin_86_280.2600,bin_87_283.5000,bin_88_286.7400,bin_89_289.9800,bin_90_293.2200,bin_91_296.4600,bin_92_299.7000,bin_93_302.9400,bin_94_306.1800,bin_95_309.4200,bin_96_312.6600,bin_97_315.9000,bin_98_319.1400,bin_99_322.3800
tensor(0.0274),tensor(0.1043),tensor(0.1551),tensor(0.1978),tensor(0.2331),tensor(0.2563),tensor(0.3033),tensor(0.3205),tensor(0.3623),tensor(0.4048),tensor(0.4456),tensor(0.4034),tensor(0.4136),tensor(0.4960),tensor(0.4925),tensor(0.4651),tensor(0.4962),tensor(0.5783),tensor(0.5211),tensor(0.5859),tensor(0.6150),tensor(0.5954),tensor(0.6636),tensor(0.6168),tensor(0.6849),tensor(0.7083),tensor(0.7033),tensor(0.7579),tensor(0.7867),tensor(0.7328),tensor(0.7407),tensor(0.6986),tensor(0.8154),tensor(0.6753),tensor(0.7818),tensor(0.7544),tensor(0.8000),tensor(0.8507),tensor(0.8966),tensor(0.8800),tensor(0.8491),tensor(0.8182),tensor(0.8636),tensor(0.8246),tensor(0.6296),tensor(0.8636),tensor(0.9180),tensor(0.8056),tensor(0.8846),tensor(0.8571),tensor(0.9189),tensor(0.9302),tensor(0.8485),tensor(0.9500),tensor(0.9048),tensor(0.8250),tensor(0.8519),tensor(0.9737),tensor(0.9688),tensor(0.9583),tensor(0.8182),tensor(1.),tensor(0.9348),tensor(1.),tensor(1.),tensor(0.9583),tensor(1.),tensor(0.8182),tensor(0.8824),tensor(0.8750),tensor(0.9130),tensor(1.),tensor(0.9444),tensor(0.9375),tensor(0.9583),tensor(0.9333),tensor(0.9474),tensor(0.8824),tensor(1.),tensor(0.9545),tensor(0.9231),tensor(1.),tensor(0.9375),tensor(1.),tensor(0.9231),tensor(1.),tensor(1.),tensor(1.),tensor(0.8000),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(0.6667),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.)
tensor(0.0275),tensor(0.1068),tensor(0.1602),tensor(0.2043),tensor(0.2390),tensor(0.2690),tensor(0.3349),tensor(0.3310),tensor(0.3588),tensor(0.4124),tensor(0.3773),tensor(0.4066),tensor(0.4436),tensor(0.4980),tensor(0.5366),tensor(0.5742),tensor(0.5762),tensor(0.5642),tensor(0.5655),tensor(0.6142),tensor(0.5914),tensor(0.6462),tensor(0.7080),tensor(0.6422),tensor(0.6691),tensor(0.6989),tensor(0.6979),tensor(0.7556),tensor(0.7500),tensor(0.8145),tensor(0.7976),tensor(0.7671),tensor(0.7746),tensor(0.6986),tensor(0.7600),tensor(0.8776),tensor(0.8793),tensor(0.7910),tensor(0.9216),tensor(0.8039),tensor(0.9070),tensor(0.7931),tensor(0.8511),tensor(0.8519),tensor(0.8333),tensor(0.8197),tensor(0.8971),tensor(0.8649),tensor(0.9000),tensor(0.8750),tensor(0.8649),tensor(0.9091),tensor(0.9189),tensor(0.8421),tensor(0.9000),tensor(0.9062),tensor(0.8889),tensor(0.9474),tensor(0.8788),tensor(0.9130),tensor(0.9091),tensor(0.9375),tensor(0.9762),tensor(0.9474),tensor(0.9630),tensor(0.9583),tensor(0.8889),tensor(0.9545),tensor(1.),tensor(0.9375),tensor(0.9091),tensor(0.9583),tensor(1.),tensor(0.9444),tensor(0.9524),tensor(1.),tensor(0.9412),tensor(1.),tensor(0.9412),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(0.9286),tensor(1.),tensor(1.),tensor(1.),tensor(0.9565),tensor(1.),tensor(0.8333),tensor(1.),tensor(1.),tensor(1.),tensor(0.8750),tensor(0.7500),tensor(1.),tensor(0.8000),tensor(0.7500),tensor(1.),tensor(1.)
tensor(0.0274),tensor(0.1070),tensor(0.1511),tensor(0.1775),tensor(0.2382),tensor(0.2641),tensor(0.2989),tensor(0.3120),tensor(0.3823),tensor(0.3937),tensor(0.4337),tensor(0.3639),tensor(0.4950),tensor(0.4694),tensor(0.4341),tensor(0.4857),tensor(0.5686),tensor(0.5690),tensor(0.5347),tensor(0.5923),tensor(0.6230),tensor(0.5969),tensor(0.6455),tensor(0.6600),tensor(0.6815),tensor(0.6562),tensor(0.6559),tensor(0.6699),tensor(0.7945),tensor(0.6610),tensor(0.6707),tensor(0.7733),tensor(0.7500),tensor(0.8553),tensor(0.7692),tensor(0.6949),tensor(0.7959),tensor(0.8553),tensor(0.8491),tensor(0.7917),tensor(0.8654),tensor(0.8000),tensor(0.7561),tensor(0.8679),tensor(0.8333),tensor(0.8281),tensor(0.8644),tensor(0.8421),tensor(0.9259),tensor(0.9024),tensor(0.9667),tensor(0.8605),tensor(0.8485),tensor(0.8947),tensor(0.8667),tensor(0.8611),tensor(0.9167),tensor(0.9714),tensor(0.8974),tensor(0.8750),tensor(1.),tensor(0.8667),tensor(0.9091),tensor(1.),tensor(0.8889),tensor(0.8846),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(0.9048),tensor(1.),tensor(1.),tensor(1.),tensor(0.9412),tensor(0.9444),tensor(1.),tensor(0.9524),tensor(0.9412),tensor(1.),tensor(0.8667),tensor(1.),tensor(0.8889),tensor(0.9000),tensor(0.9167),tensor(0.9048),tensor(1.),tensor(0.8333),tensor(1.),tensor(0.7778),tensor(1.),tensor(1.),tensor(1.),tensor(0.),tensor(1.),tensor(1.),tensor(nan),tensor(1.)
tensor(0.0288),tensor(0.1152),tensor(0.1653),tensor(0.1986),tensor(0.2383),tensor(0.2820),tensor(0.3207),tensor(0.3395),tensor(0.3567),tensor(0.4505),tensor(0.4642),tensor(0.4721),tensor(0.4594),tensor(0.4336),tensor(0.6039),tensor(0.4751),tensor(0.5603),tensor(0.6706),tensor(0.6200),tensor(0.5000),tensor(0.6736),tensor(0.5785),tensor(0.6637),tensor(0.6381),tensor(0.6815),tensor(0.6957),tensor(0.6465),tensor(0.6765),tensor(0.7260),tensor(0.7583),tensor(0.7439),tensor(0.8358),tensor(0.8095),tensor(0.8421),tensor(0.8519),tensor(0.8039),tensor(0.8367),tensor(0.8889),tensor(0.8824),tensor(0.8000),tensor(0.8542),tensor(0.8333),tensor(0.8542),tensor(0.7778),tensor(0.9630),tensor(0.8308),tensor(0.8667),tensor(0.8750),tensor(0.9655),tensor(0.8974),tensor(0.9429),tensor(0.9111),tensor(0.8571),tensor(0.7500),tensor(0.9024),tensor(0.7895),tensor(0.9643),tensor(0.8462),tensor(0.8919),tensor(0.8333),tensor(0.9091),tensor(0.9412),tensor(0.9767),tensor(0.9091),tensor(1.),tensor(0.9615),tensor(1.),tensor(0.9048),tensor(0.9333),tensor(0.9444),tensor(0.9500),tensor(0.9545),tensor(1.),tensor(1.),tensor(0.9130),tensor(1.),tensor(0.9412),tensor(0.9286),tensor(1.),tensor(1.),tensor(0.8125),tensor(1.),tensor(0.9167),tensor(0.9375),tensor(1.),tensor(0.9286),tensor(1.),tensor(1.),tensor(0.8571),tensor(0.8000),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.)
tensor(0.0265),tensor(0.1045),tensor(0.1543),tensor(0.1901),tensor(0.2313),tensor(0.2730),tensor(0.2805),tensor(0.3214),tensor(0.3413),tensor(0.4022),tensor(0.4406),tensor(0.4278),tensor(0.3840),tensor(0.4360),tensor(0.5468),tensor(0.5509),tensor(0.5352),tensor(0.5706),tensor(0.5827),tensor(0.6094),tensor(0.6685),tensor(0.6198),tensor(0.5789),tensor(0.6250),tensor(0.6716),tensor(0.6737),tensor(0.7604),tensor(0.7320),tensor(0.7571),tensor(0.6609),tensor(0.7470),tensor(0.7273),tensor(0.7164),tensor(0.7403),tensor(0.7358),tensor(0.8545),tensor(0.8679),tensor(0.8194),tensor(0.8462),tensor(0.8958),tensor(0.8491),tensor(0.7869),tensor(0.8511),tensor(0.8246),tensor(0.8966),tensor(0.8525),tensor(0.8644),tensor(1.),tensor(0.8889),tensor(0.9474),tensor(0.8000),tensor(0.9000),tensor(0.8857),tensor(0.8947),tensor(0.8333),tensor(0.8611),tensor(0.8571),tensor(0.9070),tensor(0.9375),tensor(0.9474),tensor(0.9167),tensor(0.9375),tensor(0.9302),tensor(0.8696),tensor(0.9600),tensor(0.9130),tensor(0.9444),tensor(0.9231),tensor(1.),tensor(1.),tensor(0.9565),tensor(0.9091),tensor(1.),tensor(0.9474),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(0.9091),tensor(0.9412),tensor(0.9231),tensor(0.9167),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.)
tensor(0.0272),tensor(0.1080),tensor(0.1499),tensor(0.1884),tensor(0.2301),tensor(0.2919),tensor(0.3078),tensor(0.3177),tensor(0.3836),tensor(0.3843),tensor(0.4010),tensor(0.4413),tensor(0.4889),tensor(0.5083),tensor(0.5000),tensor(0.5187),tensor(0.5984),tensor(0.5000),tensor(0.6074),tensor(0.5600),tensor(0.5959),tensor(0.5887),tensor(0.5872),tensor(0.6204),tensor(0.6571),tensor(0.7363),tensor(0.6667),tensor(0.7475),tensor(0.7042),tensor(0.7815),tensor(0.6867),tensor(0.7368),tensor(0.7910),tensor(0.7436),tensor(0.6786),tensor(0.7455),tensor(0.8070),tensor(0.8667),tensor(0.8679),tensor(0.7959),tensor(0.8235),tensor(0.8103),tensor(0.8372),tensor(0.8305),tensor(0.7586),tensor(0.8769),tensor(0.8254),tensor(0.8333),tensor(0.8846),tensor(0.8158),tensor(0.7941),tensor(0.9189),tensor(0.9062),tensor(0.9524),tensor(0.8250),tensor(0.9429),tensor(0.8519),tensor(0.9487),tensor(0.9459),tensor(1.),tensor(0.8947),tensor(1.),tensor(0.8889),tensor(0.9000),tensor(1.),tensor(1.),tensor(0.9500),tensor(1.),tensor(0.8571),tensor(0.8462),tensor(1.),tensor(0.9000),tensor(0.9474),tensor(0.9412),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(0.9375),tensor(1.),tensor(0.9286),tensor(1.),tensor(1.),tensor(0.9167),tensor(1.),tensor(0.9474),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.)
tensor(0.0273),tensor(0.1059),tensor(0.1474),tensor(0.1824),tensor(0.2432),tensor(0.2785),tensor(0.3258),tensor(0.3248),tensor(0.3736),tensor(0.4225),tensor(0.3629),tensor(0.4310),tensor(0.4608),tensor(0.4494),tensor(0.4623),tensor(0.5670),tensor(0.5492),tensor(0.5852),tensor(0.5986),tensor(0.5580),tensor(0.5928),tensor(0.5772),tensor(0.6106),tensor(0.6321),tensor(0.6475),tensor(0.7609),tensor(0.6064),tensor(0.6383),tensor(0.6438),tensor(0.7069),tensor(0.7738),tensor(0.7368),tensor(0.9180),tensor(0.8312),tensor(0.7759),tensor(0.8654),tensor(0.8000),tensor(0.8209),tensor(0.8302),tensor(0.8200),tensor(0.7736),tensor(0.9344),tensor(0.8864),tensor(0.8868),tensor(0.7000),tensor(0.8393),tensor(0.7931),tensor(0.9118),tensor(0.9286),tensor(0.8974),tensor(0.9062),tensor(0.9250),tensor(0.8750),tensor(0.9048),tensor(0.8372),tensor(0.8710),tensor(0.9643),tensor(0.8974),tensor(0.8108),tensor(1.),tensor(0.9545),tensor(0.9167),tensor(0.8696),tensor(0.9474),tensor(0.8889),tensor(0.9524),tensor(0.8824),tensor(1.),tensor(1.),tensor(0.9412),tensor(1.),tensor(0.9091),tensor(1.),tensor(1.),tensor(0.9524),tensor(1.),tensor(0.8750),tensor(0.9231),tensor(0.8824),tensor(1.),tensor(0.9444),tensor(1.),tensor(0.9333),tensor(0.9375),tensor(0.8889),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(0.9167),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.)
tensor(0.0276),tensor(0.1087),tensor(0.1539),tensor(0.1971),tensor(0.2324),tensor(0.2765),tensor(0.2934),tensor(0.3037),tensor(0.3665),tensor(0.3764),tensor(0.4221),tensor(0.4914),tensor(0.4902),tensor(0.5240),tensor(0.5631),tensor(0.5530),tensor(0.5639),tensor(0.5614),tensor(0.5857),tensor(0.5703),tensor(0.6064),tensor(0.6142),tensor(0.6034),tensor(0.6916),tensor(0.6690),tensor(0.7822),tensor(0.6768),tensor(0.7374),tensor(0.5938),tensor(0.8103),tensor(0.7619),tensor(0.7917),tensor(0.7761),tensor(0.8000),tensor(0.7818),tensor(0.8462),tensor(0.7692),tensor(0.8000),tensor(0.8511),tensor(0.8113),tensor(0.7925),tensor(0.9032),tensor(0.8889),tensor(0.8868),tensor(0.9333),tensor(0.8413),tensor(0.9123),tensor(0.9189),tensor(0.8710),tensor(0.8750),tensor(0.9412),tensor(0.9302),tensor(0.9697),tensor(0.9048),tensor(0.9250),tensor(0.9750),tensor(0.7917),tensor(0.9024),tensor(0.8421),tensor(0.9524),tensor(0.8696),tensor(0.9375),tensor(0.9091),tensor(1.),tensor(1.),tensor(0.9200),tensor(1.),tensor(1.),tensor(1.),tensor(0.8750),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(0.9200),tensor(1.),tensor(1.),tensor(1.),tensor(0.9375),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(0.9231),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(0.8889),tensor(1.),tensor(1.),tensor(1.),tensor(nan),tensor(1.),tensor(1.),tensor(1.),tensor(1.)
tensor(0.0290),tensor(0.1146),tensor(0.1573),tensor(0.2017),tensor(0.2421),tensor(0.2989),tensor(0.3321),tensor(0.3492),tensor(0.3736),tensor(0.4430),tensor(0.4410),tensor(0.4696),tensor(0.4901),tensor(0.4512),tensor(0.5756),tensor(0.5422),tensor(0.6527),tensor(0.6023),tensor(0.6176),tensor(0.6692),tensor(0.6237),tensor(0.6183),tensor(0.7521),tensor(0.7358),tensor(0.6718),tensor(0.6739),tensor(0.7700),tensor(0.7216),tensor(0.8571),tensor(0.7436),tensor(0.7381),tensor(0.8816),tensor(0.8429),tensor(0.8333),tensor(0.8727),tensor(0.8085),tensor(0.9464),tensor(0.8356),tensor(0.8800),tensor(0.8235),tensor(0.8246),tensor(0.9180),tensor(0.9286),tensor(0.8627),tensor(0.9310),tensor(0.8615),tensor(0.9167),tensor(0.8333),tensor(1.),tensor(1.),tensor(0.8750),tensor(0.9487),tensor(0.9697),tensor(0.8636),tensor(0.9070),tensor(0.8571),tensor(0.8846),tensor(0.9744),tensor(0.9412),tensor(1.),tensor(0.9583),tensor(0.9231),tensor(0.9535),tensor(1.),tensor(0.9000),tensor(0.8636),tensor(1.),tensor(0.9000),tensor(0.9412),tensor(1.),tensor(0.9545),tensor(0.9167),tensor(0.8947),tensor(0.9375),tensor(1.),tensor(0.9231),tensor(0.9444),tensor(1.),tensor(0.8889),tensor(1.),tensor(1.),tensor(0.9286),tensor(0.9231),tensor(1.),tensor(1.),tensor(1.),tensor(0.9231),tensor(0.9524),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(0.8000),tensor(1.),tensor(1.),tensor(1.)
tensor(0.0288),tensor(0.1102),tensor(0.1558),tensor(0.1974),tensor(0.2252),tensor(0.2730),tensor(0.3279),tensor(0.3184),tensor(0.3866),tensor(0.4063),tensor(0.4300),tensor(0.4481),tensor(0.4381),tensor(0.4418),tensor(0.4657),tensor(0.5545),tensor(0.5769),tensor(0.6221),tensor(0.5874),tensor(0.5333),tensor(0.6022),tensor(0.6423),tensor(0.6667),tensor(0.7184),tensor(0.6986),tensor(0.6989),tensor(0.7700),tensor(0.6961),tensor(0.7000),tensor(0.7177),tensor(0.7229),tensor(0.9028),tensor(0.7353),tensor(0.7821),tensor(0.8545),tensor(0.7692),tensor(0.6545),tensor(0.7763),tensor(0.7872),tensor(0.8571),tensor(0.7963),tensor(0.8814),tensor(0.7955),tensor(0.8333),tensor(0.8276),tensor(0.7377),tensor(0.9206),tensor(0.8947),tensor(0.9167),tensor(0.8837),tensor(0.9714),tensor(0.8810),tensor(0.9062),tensor(0.8947),tensor(0.9767),tensor(0.9189),tensor(0.9231),tensor(0.9444),tensor(0.9487),tensor(0.8947),tensor(1.),tensor(1.),tensor(0.9130),tensor(0.9048),tensor(1.),tensor(0.9167),tensor(0.9444),tensor(0.9615),tensor(1.),tensor(0.9333),tensor(0.9000),tensor(0.9524),tensor(0.9444),tensor(0.8125),tensor(1.),tensor(1.),tensor(0.9474),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(0.9091),tensor(0.9333),tensor(1.),tensor(1.),tensor(0.9167),tensor(0.9167),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(0.9000),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.)
