bin_0_0.0045,bin_1_0.0127,bin_2_0.0209,bin_3_0.0291,bin_4_0.0373,bin_5_0.0456,bin_6_0.0538,bin_7_0.0620,bin_8_0.0702,bin_9_0.0784,bin_10_0.0866,bin_11_0.0948,bin_12_0.1030,bin_13_0.1112,bin_14_0.1194,bin_15_0.1276,bin_16_0.1358,bin_17_0.1440,bin_18_0.1522,bin_19_0.1605,bin_20_0.1687,bin_21_0.1769,bin_22_0.1851,bin_23_0.1933,bin_24_0.2015,bin_25_0.2097,bin_26_0.2179,bin_27_0.2261,bin_28_0.2343,bin_29_0.2425,bin_30_0.2507,bin_31_0.2589,bin_32_0.2671,bin_33_0.2753,bin_34_0.2836,bin_35_0.2918,bin_36_0.3000,bin_37_0.3082,bin_38_0.3164,bin_39_0.3246,bin_40_0.3328,bin_41_0.3410,bin_42_0.3492,bin_43_0.3574,bin_44_0.3656,bin_45_0.3738,bin_46_0.3820,bin_47_0.3902,bin_48_0.3985,bin_49_0.4067,bin_50_0.4149,bin_51_0.4231,bin_52_0.4313,bin_53_0.4395,bin_54_0.4477,bin_55_0.4559,bin_56_0.4641,bin_57_0.4723,bin_58_0.4805,bin_59_0.4887,bin_60_0.4969,bin_61_0.5051,bin_62_0.5134,bin_63_0.5216,bin_64_0.5298,bin_65_0.5380,bin_66_0.5462,bin_67_0.5544,bin_68_0.5626,bin_69_0.5708,bin_70_0.5790,bin_71_0.5872,bin_72_0.5954,bin_73_0.6036,bin_74_0.6118,bin_75_0.6200,bin_76_0.6283,bin_77_0.6365,bin_78_0.6447,bin_79_0.6529,bin_80_0.6611,bin_81_0.6693,bin_82_0.6775,bin_83_0.6857,bin_84_0.6939,bin_85_0.7021,bin_86_0.7103,bin_87_0.7185,bin_88_0.7267,bin_89_0.7349,bin_90_0.7432,bin_91_0.7514,bin_92_0.7596,bin_93_0.7678,bin_94_0.7760,bin_95_0.7842,bin_96_0.7924,bin_97_0.8006,bin_98_0.8088,bin_99_0.8170
tensor(0.0088),tensor(0.0585),tensor(0.1005),tensor(0.1390),tensor(0.1787),tensor(0.1980),tensor(0.2544),tensor(0.2426),tensor(0.2652),tensor(0.3326),tensor(0.3333),tensor(0.3614),tensor(0.3684),tensor(0.3952),tensor(0.4453),tensor(0.4279),tensor(0.5343),tensor(0.4840),tensor(0.5170),tensor(0.5000),tensor(0.5223),tensor(0.5746),tensor(0.6457),tensor(0.5798),tensor(0.6239),tensor(0.6442),tensor(0.6947),tensor(0.5978),tensor(0.6495),tensor(0.7209),tensor(0.6813),tensor(0.6974),tensor(0.7222),tensor(0.7273),tensor(0.5574),tensor(0.6724),tensor(0.8036),tensor(0.7600),tensor(0.8545),tensor(0.7500),tensor(0.7627),tensor(0.8235),tensor(0.8095),tensor(0.7407),tensor(0.7568),tensor(0.7917),tensor(0.8537),tensor(0.7963),tensor(0.8222),tensor(0.8140),tensor(0.7714),tensor(0.7778),tensor(0.7941),tensor(0.8205),tensor(0.9062),tensor(0.9730),tensor(0.9032),tensor(0.8438),tensor(0.8800),tensor(0.9615),tensor(0.8286),tensor(0.9677),tensor(0.9630),tensor(0.8636),tensor(0.8571),tensor(0.9310),tensor(0.9091),tensor(0.9167),tensor(1.),tensor(0.9200),tensor(0.9375),tensor(0.8889),tensor(0.9474),tensor(1.),tensor(0.8571),tensor(0.9375),tensor(0.8750),tensor(0.9259),tensor(0.8889),tensor(0.9000),tensor(1.),tensor(1.),tensor(0.8421),tensor(1.),tensor(0.8750),tensor(1.),tensor(1.),tensor(1.),tensor(0.9412),tensor(0.9286),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.)
tensor(0.0090),tensor(0.0562),tensor(0.1010),tensor(0.1334),tensor(0.1781),tensor(0.1955),tensor(0.2254),tensor(0.2723),tensor(0.2735),tensor(0.2965),tensor(0.3416),tensor(0.3539),tensor(0.4405),tensor(0.3629),tensor(0.4252),tensor(0.4688),tensor(0.4802),tensor(0.4574),tensor(0.4755),tensor(0.5065),tensor(0.4901),tensor(0.5957),tensor(0.6015),tensor(0.6410),tensor(0.5278),tensor(0.5400),tensor(0.6222),tensor(0.6512),tensor(0.6634),tensor(0.6667),tensor(0.6374),tensor(0.6232),tensor(0.8000),tensor(0.7465),tensor(0.7536),tensor(0.6441),tensor(0.9062),tensor(0.7755),tensor(0.7593),tensor(0.7736),tensor(0.8125),tensor(0.6981),tensor(0.8667),tensor(0.7255),tensor(0.8205),tensor(0.8125),tensor(0.8333),tensor(0.7333),tensor(0.8043),tensor(0.8333),tensor(0.8788),tensor(0.8966),tensor(0.7647),tensor(0.8974),tensor(0.6667),tensor(0.8889),tensor(0.8182),tensor(0.8485),tensor(0.8636),tensor(0.8182),tensor(0.9250),tensor(0.9677),tensor(0.8966),tensor(0.9167),tensor(1.),tensor(0.9615),tensor(0.9000),tensor(0.8333),tensor(0.9474),tensor(0.9231),tensor(0.9412),tensor(1.),tensor(0.9333),tensor(0.9286),tensor(0.9412),tensor(1.),tensor(0.9583),tensor(0.9615),tensor(1.),tensor(1.),tensor(0.8125),tensor(1.),tensor(0.9524),tensor(0.9375),tensor(1.),tensor(1.),tensor(0.9286),tensor(0.8462),tensor(0.9048),tensor(0.9167),tensor(1.),tensor(0.9412),tensor(1.),tensor(1.),tensor(1.),tensor(0.9167),tensor(0.9375),tensor(1.),tensor(1.),tensor(1.)
tensor(0.0095),tensor(0.0604),tensor(0.1021),tensor(0.1300),tensor(0.1703),tensor(0.2148),tensor(0.2456),tensor(0.2731),tensor(0.2601),tensor(0.3248),tensor(0.3706),tensor(0.3236),tensor(0.4387),tensor(0.4000),tensor(0.4844),tensor(0.5497),tensor(0.4585),tensor(0.5323),tensor(0.5479),tensor(0.5032),tensor(0.5347),tensor(0.4672),tensor(0.5821),tensor(0.4960),tensor(0.5688),tensor(0.5962),tensor(0.6526),tensor(0.5568),tensor(0.6489),tensor(0.6282),tensor(0.7188),tensor(0.7013),tensor(0.8169),tensor(0.6667),tensor(0.7143),tensor(0.6667),tensor(0.7969),tensor(0.7368),tensor(0.7719),tensor(0.7736),tensor(0.7069),tensor(0.7451),tensor(0.8222),tensor(0.8727),tensor(0.8049),tensor(0.8222),tensor(0.8000),tensor(0.8644),tensor(0.7556),tensor(0.8140),tensor(0.9118),tensor(0.8621),tensor(0.8889),tensor(0.8235),tensor(0.9667),tensor(0.8710),tensor(0.9394),tensor(0.9333),tensor(1.),tensor(0.8000),tensor(0.9706),tensor(0.9333),tensor(0.9615),tensor(0.9091),tensor(0.9259),tensor(0.9167),tensor(0.9474),tensor(0.9565),tensor(0.7500),tensor(1.),tensor(0.8824),tensor(1.),tensor(0.9286),tensor(1.),tensor(0.9333),tensor(1.),tensor(0.8571),tensor(0.9655),tensor(0.8889),tensor(0.9545),tensor(1.),tensor(0.7500),tensor(0.8889),tensor(1.),tensor(1.),tensor(1.),tensor(0.9231),tensor(0.9286),tensor(0.9524),tensor(1.),tensor(0.9231),tensor(0.9444),tensor(1.),tensor(1.),tensor(0.9167),tensor(0.8571),tensor(1.),tensor(1.),tensor(1.),tensor(1.)
tensor(0.0085),tensor(0.0567),tensor(0.0906),tensor(0.1187),tensor(0.1481),tensor(0.1813),tensor(0.2187),tensor(0.2496),tensor(0.2615),tensor(0.3093),tensor(0.3408),tensor(0.3634),tensor(0.4026),tensor(0.3439),tensor(0.3702),tensor(0.4439),tensor(0.4612),tensor(0.4286),tensor(0.5197),tensor(0.5253),tensor(0.4777),tensor(0.5797),tensor(0.6032),tensor(0.5328),tensor(0.5789),tensor(0.6190),tensor(0.6374),tensor(0.6702),tensor(0.6915),tensor(0.6897),tensor(0.6136),tensor(0.7105),tensor(0.6375),tensor(0.6061),tensor(0.6190),tensor(0.8276),tensor(0.7333),tensor(0.6415),tensor(0.8036),tensor(0.8070),tensor(0.8276),tensor(0.7059),tensor(0.8261),tensor(0.7963),tensor(0.8205),tensor(0.7917),tensor(0.7708),tensor(0.8333),tensor(0.7917),tensor(0.8182),tensor(0.8649),tensor(0.7667),tensor(0.8889),tensor(0.9211),tensor(0.7778),tensor(0.8182),tensor(0.8438),tensor(0.8889),tensor(0.8696),tensor(0.9259),tensor(0.9412),tensor(0.9355),tensor(0.9615),tensor(0.7273),tensor(1.),tensor(0.8519),tensor(0.8636),tensor(0.8750),tensor(0.9474),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(0.8333),tensor(0.8750),tensor(0.8125),tensor(0.9167),tensor(0.9615),tensor(1.),tensor(0.9474),tensor(0.9333),tensor(1.),tensor(0.9091),tensor(0.8889),tensor(0.9375),tensor(1.),tensor(0.9167),tensor(1.),tensor(0.9130),tensor(0.9167),tensor(0.9231),tensor(0.8889),tensor(1.),tensor(0.9167),tensor(0.9091),tensor(0.8824),tensor(1.),tensor(1.),tensor(1.),tensor(1.)
tensor(0.0091),tensor(0.0586),tensor(0.0998),tensor(0.1360),tensor(0.1678),tensor(0.2020),tensor(0.2364),tensor(0.2507),tensor(0.2781),tensor(0.2669),tensor(0.3358),tensor(0.3659),tensor(0.3694),tensor(0.4280),tensor(0.3861),tensor(0.4726),tensor(0.4646),tensor(0.4946),tensor(0.5033),tensor(0.5409),tensor(0.5449),tensor(0.5217),tensor(0.5868),tensor(0.6068),tensor(0.5739),tensor(0.6238),tensor(0.6875),tensor(0.6739),tensor(0.6146),tensor(0.6790),tensor(0.5833),tensor(0.7200),tensor(0.7308),tensor(0.6912),tensor(0.7344),tensor(0.8136),tensor(0.7167),tensor(0.7018),tensor(0.7143),tensor(0.7358),tensor(0.7167),tensor(0.7636),tensor(0.7609),tensor(0.8136),tensor(0.7895),tensor(0.7551),tensor(0.8444),tensor(0.8000),tensor(0.8298),tensor(0.7941),tensor(0.8378),tensor(0.9000),tensor(0.8182),tensor(0.9512),tensor(0.8710),tensor(0.8529),tensor(0.9333),tensor(0.8788),tensor(0.9048),tensor(0.9583),tensor(0.8108),tensor(0.9286),tensor(0.9231),tensor(0.9565),tensor(1.),tensor(0.9000),tensor(0.7368),tensor(0.9200),tensor(0.9231),tensor(0.9167),tensor(0.9474),tensor(1.),tensor(1.),tensor(1.),tensor(0.9231),tensor(0.8125),tensor(0.8696),tensor(0.9600),tensor(0.8889),tensor(0.9000),tensor(0.9444),tensor(0.9167),tensor(0.9565),tensor(0.9333),tensor(0.8235),tensor(0.8462),tensor(0.9231),tensor(0.8462),tensor(1.),tensor(1.),tensor(1.),tensor(0.9333),tensor(1.),tensor(1.),tensor(1.),tensor(0.9333),tensor(1.),tensor(0.9091),tensor(0.8571),tensor(1.)
tensor(0.0086),tensor(0.0543),tensor(0.0928),tensor(0.1208),tensor(0.1689),tensor(0.1994),tensor(0.2231),tensor(0.2266),tensor(0.2951),tensor(0.3032),tensor(0.3469),tensor(0.3607),tensor(0.3454),tensor(0.3922),tensor(0.4925),tensor(0.4406),tensor(0.4216),tensor(0.4649),tensor(0.5000),tensor(0.5155),tensor(0.4795),tensor(0.6084),tensor(0.6241),tensor(0.6161),tensor(0.5963),tensor(0.5728),tensor(0.6000),tensor(0.6044),tensor(0.5979),tensor(0.6279),tensor(0.6292),tensor(0.5921),tensor(0.7432),tensor(0.7534),tensor(0.7273),tensor(0.6316),tensor(0.6167),tensor(0.7358),tensor(0.8929),tensor(0.7143),tensor(0.8226),tensor(0.6735),tensor(0.7727),tensor(0.8182),tensor(0.7143),tensor(0.8298),tensor(0.9149),tensor(0.7308),tensor(0.9070),tensor(0.9211),tensor(0.7436),tensor(0.7917),tensor(0.7407),tensor(0.8293),tensor(0.7500),tensor(0.8125),tensor(0.8788),tensor(0.8000),tensor(0.8000),tensor(0.9200),tensor(0.9375),tensor(0.7812),tensor(0.9600),tensor(0.8333),tensor(0.9630),tensor(0.9655),tensor(1.),tensor(0.9130),tensor(0.8500),tensor(0.9167),tensor(1.),tensor(0.9444),tensor(0.9375),tensor(1.),tensor(1.),tensor(0.7895),tensor(0.7917),tensor(0.9231),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(0.9091),tensor(0.8667),tensor(1.),tensor(0.8667),tensor(0.9091),tensor(1.),tensor(0.9091),tensor(0.9167),tensor(0.9231),tensor(1.),tensor(1.),tensor(0.8462),tensor(1.),tensor(1.),tensor(0.8462),tensor(1.),tensor(1.),tensor(1.)
tensor(0.0088),tensor(0.0569),tensor(0.1014),tensor(0.1263),tensor(0.1706),tensor(0.1781),tensor(0.1898),tensor(0.2518),tensor(0.2621),tensor(0.3546),tensor(0.3192),tensor(0.3014),tensor(0.3556),tensor(0.4280),tensor(0.3984),tensor(0.4328),tensor(0.5153),tensor(0.5028),tensor(0.4694),tensor(0.4848),tensor(0.4701),tensor(0.4825),tensor(0.6015),tensor(0.5888),tensor(0.5946),tensor(0.6168),tensor(0.6264),tensor(0.6484),tensor(0.6837),tensor(0.6988),tensor(0.7528),tensor(0.6056),tensor(0.7101),tensor(0.6567),tensor(0.8000),tensor(0.7000),tensor(0.7692),tensor(0.6735),tensor(0.7600),tensor(0.7547),tensor(0.7931),tensor(0.7170),tensor(0.7619),tensor(0.7500),tensor(0.7619),tensor(0.7556),tensor(0.8140),tensor(0.6667),tensor(0.8293),tensor(0.8222),tensor(0.7879),tensor(0.8148),tensor(0.8667),tensor(0.8250),tensor(0.7778),tensor(0.8056),tensor(0.8750),tensor(0.9333),tensor(0.8846),tensor(0.9600),tensor(0.9118),tensor(0.9706),tensor(0.8846),tensor(0.9091),tensor(0.9231),tensor(0.8889),tensor(0.8500),tensor(0.9615),tensor(0.8333),tensor(0.9000),tensor(0.8750),tensor(1.),tensor(0.8750),tensor(1.),tensor(0.8667),tensor(0.9412),tensor(0.9524),tensor(0.9583),tensor(1.),tensor(0.9412),tensor(0.9444),tensor(1.),tensor(0.9048),tensor(0.9412),tensor(0.8333),tensor(0.9375),tensor(1.),tensor(0.9091),tensor(1.),tensor(1.),tensor(1.),tensor(0.9412),tensor(1.),tensor(0.9000),tensor(1.),tensor(0.9333),tensor(0.8462),tensor(1.),tensor(0.9000),tensor(1.)
tensor(0.0090),tensor(0.0599),tensor(0.1107),tensor(0.1310),tensor(0.1736),tensor(0.1949),tensor(0.2205),tensor(0.2709),tensor(0.3076),tensor(0.3587),tensor(0.3466),tensor(0.4101),tensor(0.4025),tensor(0.4061),tensor(0.3960),tensor(0.4579),tensor(0.5362),tensor(0.4973),tensor(0.5541),tensor(0.5482),tensor(0.5563),tensor(0.5299),tensor(0.5966),tensor(0.6140),tensor(0.5238),tensor(0.5673),tensor(0.5795),tensor(0.5618),tensor(0.6800),tensor(0.7531),tensor(0.7640),tensor(0.7273),tensor(0.7250),tensor(0.7353),tensor(0.7273),tensor(0.8095),tensor(0.7273),tensor(0.7547),tensor(0.7759),tensor(0.8148),tensor(0.7273),tensor(0.8039),tensor(0.9024),tensor(0.8036),tensor(0.6750),tensor(0.7959),tensor(0.8409),tensor(0.8824),tensor(0.8636),tensor(0.8684),tensor(0.8286),tensor(0.9643),tensor(0.8065),tensor(0.8718),tensor(0.8846),tensor(0.8919),tensor(0.9394),tensor(0.8065),tensor(0.8750),tensor(0.9259),tensor(0.9444),tensor(0.8438),tensor(0.9286),tensor(1.),tensor(0.7692),tensor(0.9130),tensor(1.),tensor(0.8636),tensor(0.9474),tensor(0.9259),tensor(0.9333),tensor(1.),tensor(1.),tensor(0.9091),tensor(0.8750),tensor(0.9474),tensor(0.9167),tensor(0.9259),tensor(0.8889),tensor(0.9048),tensor(0.9444),tensor(1.),tensor(0.8000),tensor(0.9375),tensor(0.9286),tensor(1.),tensor(0.9333),tensor(0.9167),tensor(0.9545),tensor(1.),tensor(0.8462),tensor(1.),tensor(0.9286),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.)
tensor(0.0093),tensor(0.0577),tensor(0.0982),tensor(0.1261),tensor(0.1614),tensor(0.1890),tensor(0.2524),tensor(0.2617),tensor(0.2878),tensor(0.3306),tensor(0.3596),tensor(0.3697),tensor(0.3416),tensor(0.3976),tensor(0.4335),tensor(0.4559),tensor(0.4554),tensor(0.4551),tensor(0.4362),tensor(0.5120),tensor(0.5811),tensor(0.5778),tensor(0.5372),tensor(0.5950),tensor(0.7383),tensor(0.5283),tensor(0.5895),tensor(0.5647),tensor(0.6250),tensor(0.6071),tensor(0.6667),tensor(0.7368),tensor(0.7465),tensor(0.7429),tensor(0.8197),tensor(0.7018),tensor(0.6721),tensor(0.7759),tensor(0.7143),tensor(0.7593),tensor(0.7414),tensor(0.7857),tensor(0.7045),tensor(0.8302),tensor(0.7143),tensor(0.6829),tensor(0.7857),tensor(0.7963),tensor(0.7826),tensor(0.8500),tensor(0.9118),tensor(0.7857),tensor(0.8065),tensor(0.8889),tensor(0.8846),tensor(0.8571),tensor(0.8710),tensor(0.8571),tensor(0.8571),tensor(0.9200),tensor(0.8889),tensor(0.9286),tensor(0.9167),tensor(0.9565),tensor(1.),tensor(0.8214),tensor(0.9545),tensor(0.9565),tensor(0.9500),tensor(0.9615),tensor(0.8889),tensor(1.),tensor(0.9375),tensor(0.8000),tensor(0.9375),tensor(0.9474),tensor(0.9000),tensor(1.),tensor(0.9000),tensor(0.9412),tensor(0.8750),tensor(0.8462),tensor(0.9524),tensor(1.),tensor(1.),tensor(0.9333),tensor(0.9167),tensor(1.),tensor(0.9545),tensor(0.9091),tensor(0.9167),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.)
tensor(0.0088),tensor(0.0561),tensor(0.0953),tensor(0.1384),tensor(0.1595),tensor(0.2090),tensor(0.2251),tensor(0.2783),tensor(0.2883),tensor(0.2743),tensor(0.3211),tensor(0.3324),tensor(0.4085),tensor(0.4315),tensor(0.3893),tensor(0.4560),tensor(0.4650),tensor(0.5330),tensor(0.5724),tensor(0.4940),tensor(0.5310),tensor(0.5290),tensor(0.5692),tensor(0.6172),tensor(0.6214),tensor(0.6952),tensor(0.5824),tensor(0.6786),tensor(0.6737),tensor(0.7407),tensor(0.6818),tensor(0.6944),tensor(0.7179),tensor(0.6857),tensor(0.7424),tensor(0.7627),tensor(0.7586),tensor(0.6154),tensor(0.8148),tensor(0.8909),tensor(0.6557),tensor(0.8000),tensor(0.8293),tensor(0.7500),tensor(0.7000),tensor(0.8043),tensor(0.7727),tensor(0.8400),tensor(0.9070),tensor(0.8250),tensor(0.7429),tensor(0.8077),tensor(0.8438),tensor(0.9000),tensor(0.8077),tensor(0.8571),tensor(0.8750),tensor(0.9394),tensor(0.9583),tensor(0.9130),tensor(0.8974),tensor(0.9643),tensor(0.8214),tensor(1.),tensor(0.8889),tensor(0.9630),tensor(0.8636),tensor(0.9130),tensor(0.9444),tensor(0.8750),tensor(0.9333),tensor(0.8947),tensor(1.),tensor(1.),tensor(0.9375),tensor(0.9333),tensor(0.8500),tensor(0.8462),tensor(1.),tensor(1.),tensor(0.9412),tensor(0.8462),tensor(0.7647),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(0.9412),tensor(1.),tensor(1.),tensor(1.),tensor(0.9333),tensor(0.8824),tensor(0.9091),tensor(1.),tensor(1.)
