run,k,t0_s (48.85),TSmax_s (14.06),TSmin_s (6.61)
0,0.081967,49.754554,13.999391,8.318368
1,0.081967,31.040428,16.783594,8.061669
2,0.081967,57.421738,14.628044,5.780636
3,0.081967,50.523261,13.919465,6.447427
4,0.081967,76.594456,10.404725,4.079109
5,0.081967,33.094638,17.498890,5.319451
6,0.081967,35.568755,16.803004,6.011703
7,0.081967,26.956867,16.185948,7.751485
8,0.081967,51.336953,13.825894,7.457204
9,0.081967,53.673713,12.764595,5.476433
10,0.081967,57.934555,11.738104,6.720102
11,0.081967,43.744073,12.844290,6.974270
12,0.081967,67.988715,12.344679,5.977807
13,0.081967,16.746382,13.109885,9.509376
14,0.081967,67.035634,11.391134,5.144706
15,0.081967,50.698853,15.103832,6.391040
