run,k,t0_s (48.85),TSmax_s (14.06),TSmin_s (6.61)
0,0.081967,40.442089,15.788259,9.077796
1,0.081967,40.884311,15.001682,6.621635
2,0.081967,48.036002,13.121425,6.259158
3,0.081967,38.100558,14.347666,8.102832
4,0.081967,21.433924,16.261502,7.369554
5,0.081967,33.357849,13.813359,6.297872
6,0.081967,31.234469,11.461546,8.328557
7,0.081967,45.015568,11.202555,8.839847
8,0.081967,29.867776,15.654689,7.352091
9,0.081967,53.051784,15.249765,5.339780
10,0.081967,22.290213,16.023483,7.597672
0,0.081967,42.025192,13.706004,7.331706
1,0.081967,48.416488,14.624608,5.014562
0,0.081967,61.112202,15.603851,5.764720
1,0.081967,28.826981,16.227009,9.481263
2,0.081967,39.428987,13.755381,6.076485
3,0.081967,2.831158,17.288365,10.552909
4,0.081967,36.015619,12.957326,8.566561
5,0.081967,69.247731,11.333690,4.241944
6,0.081967,28.098988,15.982181,8.784330
7,0.081967,57.130448,14.308912,5.783291
8,0.081967,40.152200,17.579955,7.305914
9,0.081967,61.173678,15.052387,5.209261
10,0.081967,56.107024,13.221003,5.368808
11,0.081967,65.911249,11.698368,5.221229
12,0.081967,45.785927,13.036377,6.554638
13,0.081967,18.665078,16.691019,7.744689
14,0.081967,50.499630,12.463705,5.247233
15,0.081967,58.284761,13.730459,5.851913
16,0.081967,53.587293,15.268847,6.696919
17,0.081967,47.991655,13.144559,6.626072
18,0.081967,39.252118,14.772208,7.718328
19,0.081967,45.298025,13.833104,5.745965
20,0.081967,34.058347,15.863864,7.028116
21,0.081967,53.947483,13.874649,6.094317
22,0.081967,45.119648,13.869463,6.370848
23,0.081967,64.776770,12.769245,4.802311
24,0.081967,40.006974,13.248711,7.107202
25,0.081967,41.717873,12.770586,7.583304
26,0.081967,51.391808,12.602041,6.179422
0,0.081967,53.139776,15.512734,5.199451
1,0.081967,51.765796,12.250228,6.088233
2,0.081967,47.332231,10.552779,8.292272
3,0.081967,34.686917,15.219979,10.457722
4,0.081967,60.954783,13.217502,6.437541
5,0.081967,56.193679,12.102333,6.323140
6,0.081967,75.380719,14.175877,4.619627
7,0.081967,49.130054,12.816189,6.676088
8,0.081967,59.081006,12.970951,6.900457
9,0.081967,54.013873,12.320268,7.065519
10,0.081967,48.345802,12.590580,6.897704
11,0.081967,48.440974,13.308966,5.916359
12,0.081967,54.962511,16.206041,4.784198
0,0.081967,41.053818,14.395641,5.422672
1,0.081967,79.491544,11.535016,5.322737
2,0.081967,41.079692,13.899350,9.267230
3,0.081967,49.211004,12.901829,7.343606
4,0.081967,32.516029,17.977584,7.728695
5,0.081967,49.223019,15.191622,7.712344
6,0.081967,48.874629,15.758708,4.316108
7,0.081967,29.796036,13.695629,8.596893
8,0.081967,27.274959,15.778348,9.156027
9,0.081967,58.698132,13.612044,6.390505
10,0.081967,52.093762,13.902650,7.658538
11,0.081967,44.340814,11.286542,8.613918
12,0.081967,47.530712,12.864968,6.956829
13,0.081967,63.979493,11.486716,4.958241
14,0.081967,61.718219,16.076903,5.563508
15,0.081967,60.637158,12.020937,5.733557
16,0.081967,64.926173,12.636590,4.762936
17,0.081967,42.557308,13.991410,6.264106
18,0.081967,41.148438,16.653731,3.390586
19,0.081967,35.475955,14.681572,7.714960
20,0.081967,39.129076,12.418935,7.503117
21,0.081967,33.299437,12.561877,6.733701
22,0.081967,41.002532,15.372410,7.631753
23,0.081967,41.820072,16.518902,4.257343
24,0.081967,61.048000,12.122170,5.498427
25,0.081967,50.912433,13.941127,6.872463
26,0.081967,56.232223,14.801747,4.414610
27,0.081967,53.465246,13.268791,4.800837
28,0.081967,44.308901,17.260990,7.131264
29,0.081967,65.541606,12.729099,7.712147
30,0.081967,26.749838,16.269686,6.883969
31,0.081967,50.002178,12.832752,8.097666
32,0.081967,49.879128,14.787442,5.081425
33,0.081967,34.103845,14.506076,8.666065
34,0.081967,52.379086,14.786372,5.003425
35,0.081967,53.063010,11.056680,8.241785
36,0.081967,44.693731,15.086672,5.575149
37,0.081967,30.317853,15.864024,9.472123
38,0.081967,38.672814,11.035541,10.053638
39,0.081967,63.688405,13.197746,5.125235
40,0.081967,31.263596,14.293393,7.350491
41,0.081967,47.563001,11.081382,7.338713
42,0.081967,53.611664,15.112292,4.564311
43,0.081967,41.653903,15.205373,6.245657
44,0.081967,49.172326,14.875656,7.549205
45,0.081967,45.948622,15.938190,5.907886
46,0.081967,52.492535,14.363451,5.841766
