time_delta,outbreak_size
0,632.0
0,1986.0
0,876.0
0,271.0
0,1749.0
0,1381.0
0,1366.0
0,1926.0
0,805.0
0,1172.0
0,1049.0
0,1085.0
0,1051.0
0,2005.0
0,697.0
0,1107.0
0,1645.0
0,1154.0
0,1069.0
0,50.0
0,1220.0
0,1161.0
0,1490.0
0,634.0
0,1282.0
0,476.0
0,861.0
0,1377.0
0,449.0
0,757.0
0,1847.0
0,712.0
0,754.0
0,940.0
0,1264.0
0,1054.0
0,520.0
0,422.0
0,969.0
0,1262.0
0,1458.0
0,388.0
0,2086.0
0,1437.0
0,841.0
0,484.0
0,1858.0
0,767.0
0,991.0
0,1395.0
7,883.0
7,960.0
7,1131.0
7,786.0
7,271.0
7,322.0
7,372.0
7,941.0
7,536.0
7,1402.0
7,652.0
7,621.0
7,535.0
7,713.0
7,369.0
7,369.0
7,719.0
7,134.0
7,793.0
7,1013.0
7,871.0
7,901.0
7,494.0
7,1359.0
7,911.0
7,1240.0
7,1072.0
7,612.0
7,1445.0
7,393.0
7,1509.0
7,240.0
7,974.0
7,467.0
7,617.0
7,360.0
7,1173.0
7,762.0
7,545.0
7,399.0
7,821.0
7,855.0
7,708.0
7,973.0
7,1315.0
7,753.0
7,835.0
7,1003.0
7,630.0
7,412.0
14,626.0
14,947.0
14,678.0
14,603.0
14,781.0
14,557.0
14,137.0
14,612.0
14,520.0
14,312.0
14,742.0
14,598.0
14,417.0
14,746.0
14,1020.0
14,426.0
14,235.0
14,517.0
14,401.0
14,883.0
14,813.0
14,335.0
14,108.0
14,684.0
14,316.0
14,171.0
14,839.0
14,295.0
14,328.0
14,571.0
14,634.0
14,197.0
14,695.0
14,662.0
14,699.0
14,217.0
14,405.0
14,720.0
14,616.0
14,896.0
14,428.0
14,212.0
14,418.0
14,474.0
14,758.0
14,71.0
14,417.0
14,979.0
14,647.0
14,445.0
21,567.0
21,512.0
21,317.0
21,292.0
21,376.0
21,358.0
21,117.0
21,516.0
21,359.0
21,694.0
21,384.0
21,513.0
21,550.0
21,214.0
21,317.0
21,483.0
21,209.0
21,776.0
21,455.0
21,426.0
21,356.0
21,786.0
21,136.0
21,349.0
21,164.0
21,409.0
21,710.0
21,756.0
21,276.0
21,207.0
21,239.0
21,236.0
21,635.0
21,739.0
21,330.0
21,450.0
21,135.0
21,281.0
21,406.0
21,380.0
21,565.0
21,225.0
21,121.0
21,346.0
21,886.0
21,747.0
21,510.0
21,525.0
21,528.0
21,463.0
28,107.0
28,246.0
28,199.0
28,226.0
28,452.0
28,280.0
28,298.0
28,384.0
28,274.0
28,249.0
28,322.0
28,262.0
28,192.0
28,185.0
28,148.0
28,270.0
28,513.0
28,241.0
28,268.0
28,126.0
28,117.0
28,175.0
28,106.0
28,340.0
28,302.0
28,366.0
28,188.0
28,173.0
28,221.0
28,130.0
28,193.0
28,374.0
28,205.0
28,411.0
28,455.0
28,85.0
28,101.0
28,406.0
28,428.0
28,275.0
28,135.0
28,124.0
28,348.0
28,411.0
28,116.0
28,287.0
28,100.0
28,241.0
28,390.0
28,310.0
