bin_0_0.0045,bin_1_0.0127,bin_2_0.0209,bin_3_0.0291,bin_4_0.0373,bin_5_0.0456,bin_6_0.0538,bin_7_0.0620,bin_8_0.0702,bin_9_0.0784,bin_10_0.0866,bin_11_0.0948,bin_12_0.1030,bin_13_0.1112,bin_14_0.1194,bin_15_0.1276,bin_16_0.1358,bin_17_0.1440,bin_18_0.1522,bin_19_0.1605,bin_20_0.1687,bin_21_0.1769,bin_22_0.1851,bin_23_0.1933,bin_24_0.2015,bin_25_0.2097,bin_26_0.2179,bin_27_0.2261,bin_28_0.2343,bin_29_0.2425,bin_30_0.2507,bin_31_0.2589,bin_32_0.2671,bin_33_0.2753,bin_34_0.2836,bin_35_0.2918,bin_36_0.3000,bin_37_0.3082,bin_38_0.3164,bin_39_0.3246,bin_40_0.3328,bin_41_0.3410,bin_42_0.3492,bin_43_0.3574,bin_44_0.3656,bin_45_0.3738,bin_46_0.3820,bin_47_0.3902,bin_48_0.3985,bin_49_0.4067,bin_50_0.4149,bin_51_0.4231,bin_52_0.4313,bin_53_0.4395,bin_54_0.4477,bin_55_0.4559,bin_56_0.4641,bin_57_0.4723,bin_58_0.4805,bin_59_0.4887,bin_60_0.4969,bin_61_0.5051,bin_62_0.5134,bin_63_0.5216,bin_64_0.5298,bin_65_0.5380,bin_66_0.5462,bin_67_0.5544,bin_68_0.5626,bin_69_0.5708,bin_70_0.5790,bin_71_0.5872,bin_72_0.5954,bin_73_0.6036,bin_74_0.6118,bin_75_0.6200,bin_76_0.6283,bin_77_0.6365,bin_78_0.6447,bin_79_0.6529,bin_80_0.6611,bin_81_0.6693,bin_82_0.6775,bin_83_0.6857,bin_84_0.6939,bin_85_0.7021,bin_86_0.7103,bin_87_0.7185,bin_88_0.7267,bin_89_0.7349,bin_90_0.7432,bin_91_0.7514,bin_92_0.7596,bin_93_0.7678,bin_94_0.7760,bin_95_0.7842,bin_96_0.7924,bin_97_0.8006,bin_98_0.8088,bin_99_0.8170
tensor(0.0277),tensor(0.1229),tensor(0.1727),tensor(0.2107),tensor(0.2294),tensor(0.2962),tensor(0.3132),tensor(0.3439),tensor(0.3529),tensor(0.3747),tensor(0.3801),tensor(0.4355),tensor(0.4829),tensor(0.3871),tensor(0.4800),tensor(0.5124),tensor(0.4975),tensor(0.5523),tensor(0.5448),tensor(0.5988),tensor(0.5677),tensor(0.5662),tensor(0.6077),tensor(0.6261),tensor(0.7091),tensor(0.7200),tensor(0.6957),tensor(0.7097),tensor(0.6961),tensor(0.7317),tensor(0.7356),tensor(0.7895),tensor(0.7600),tensor(0.7500),tensor(0.7742),tensor(0.7273),tensor(0.7419),tensor(0.7963),tensor(0.7321),tensor(0.9200),tensor(0.8361),tensor(0.8039),tensor(0.8293),tensor(0.7547),tensor(0.9500),tensor(0.8542),tensor(0.9000),tensor(0.8889),tensor(0.8261),tensor(0.9024),tensor(0.8824),tensor(0.8929),tensor(0.8824),tensor(0.8611),tensor(0.9667),tensor(0.8182),tensor(0.8387),tensor(0.9355),tensor(0.8333),tensor(0.8889),tensor(0.9143),tensor(0.9630),tensor(0.8519),tensor(0.8947),tensor(0.9643),tensor(1.),tensor(1.),tensor(0.9130),tensor(0.9500),tensor(0.9259),tensor(1.),tensor(0.8750),tensor(0.9474),tensor(0.9286),tensor(0.9375),tensor(0.9412),tensor(0.9600),tensor(0.8571),tensor(0.8889),tensor(0.9524),tensor(0.8947),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(0.9375),tensor(0.9167),tensor(0.9000),tensor(1.),tensor(0.9091),tensor(1.),tensor(0.9412),tensor(0.9231),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.)
tensor(0.0279),tensor(0.1230),tensor(0.1829),tensor(0.2253),tensor(0.2458),tensor(0.2992),tensor(0.3183),tensor(0.3199),tensor(0.3782),tensor(0.3678),tensor(0.4160),tensor(0.4146),tensor(0.4718),tensor(0.5139),tensor(0.5208),tensor(0.5178),tensor(0.5124),tensor(0.5918),tensor(0.6104),tensor(0.5868),tensor(0.6203),tensor(0.5672),tensor(0.5714),tensor(0.7091),tensor(0.6538),tensor(0.6771),tensor(0.7011),tensor(0.7917),tensor(0.7353),tensor(0.7143),tensor(0.8315),tensor(0.7973),tensor(0.7971),tensor(0.8000),tensor(0.7344),tensor(0.7895),tensor(0.8226),tensor(0.8148),tensor(0.7778),tensor(0.7400),tensor(0.9245),tensor(0.8936),tensor(0.8140),tensor(0.7736),tensor(0.9268),tensor(0.8235),tensor(0.8605),tensor(0.7636),tensor(0.8980),tensor(0.9111),tensor(0.9487),tensor(0.9333),tensor(0.8286),tensor(0.8974),tensor(0.9655),tensor(0.8387),tensor(0.8182),tensor(0.9394),tensor(0.8462),tensor(0.8966),tensor(0.9355),tensor(0.9355),tensor(0.8519),tensor(1.),tensor(1.),tensor(0.8519),tensor(0.9500),tensor(0.9583),tensor(0.8824),tensor(0.9048),tensor(1.),tensor(1.),tensor(0.9412),tensor(0.8333),tensor(1.),tensor(1.),tensor(0.9091),tensor(0.9565),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(0.9545),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(0.7500),tensor(0.8824),tensor(0.9412),tensor(0.8462),tensor(1.),tensor(1.)
tensor(0.0284),tensor(0.1174),tensor(0.1656),tensor(0.1971),tensor(0.2394),tensor(0.2651),tensor(0.3252),tensor(0.3338),tensor(0.3490),tensor(0.3892),tensor(0.4112),tensor(0.4632),tensor(0.4513),tensor(0.5079),tensor(0.4196),tensor(0.4745),tensor(0.5149),tensor(0.5506),tensor(0.5986),tensor(0.5644),tensor(0.5882),tensor(0.6014),tensor(0.6484),tensor(0.6545),tensor(0.7087),tensor(0.6296),tensor(0.6742),tensor(0.6923),tensor(0.6907),tensor(0.7625),tensor(0.7553),tensor(0.7432),tensor(0.6216),tensor(0.6721),tensor(0.6825),tensor(0.8788),tensor(0.8103),tensor(0.7636),tensor(0.7759),tensor(0.7455),tensor(0.8276),tensor(0.7818),tensor(0.8182),tensor(0.8462),tensor(0.8049),tensor(0.8980),tensor(0.9302),tensor(0.8679),tensor(0.8542),tensor(0.9000),tensor(0.8235),tensor(0.8333),tensor(1.),tensor(0.8500),tensor(0.8929),tensor(0.8378),tensor(0.8438),tensor(0.9286),tensor(0.8889),tensor(0.8571),tensor(0.8333),tensor(0.9643),tensor(0.9643),tensor(0.9545),tensor(1.),tensor(0.9286),tensor(0.8571),tensor(0.9565),tensor(0.8750),tensor(0.9167),tensor(1.),tensor(0.9375),tensor(0.8947),tensor(1.),tensor(0.9286),tensor(1.),tensor(0.9167),tensor(0.9615),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(0.9500),tensor(1.),tensor(1.),tensor(0.9286),tensor(1.),tensor(1.),tensor(0.9444),tensor(0.9231),tensor(1.),tensor(0.8125),tensor(1.),tensor(0.8462),tensor(1.),tensor(1.),tensor(0.9333),tensor(0.8182),tensor(0.8750),tensor(1.)
tensor(0.0296),tensor(0.1298),tensor(0.1782),tensor(0.2263),tensor(0.2478),tensor(0.2726),tensor(0.3236),tensor(0.3565),tensor(0.3526),tensor(0.4398),tensor(0.4268),tensor(0.4689),tensor(0.4873),tensor(0.5156),tensor(0.5328),tensor(0.5196),tensor(0.5756),tensor(0.5348),tensor(0.6346),tensor(0.6038),tensor(0.5533),tensor(0.6439),tensor(0.6825),tensor(0.6435),tensor(0.6330),tensor(0.6078),tensor(0.6444),tensor(0.6818),tensor(0.6699),tensor(0.8193),tensor(0.7143),tensor(0.8529),tensor(0.7568),tensor(0.7879),tensor(0.8125),tensor(0.8070),tensor(0.8065),tensor(0.8431),tensor(0.8846),tensor(0.9020),tensor(0.8333),tensor(0.8627),tensor(0.8043),tensor(0.8400),tensor(0.8378),tensor(0.8627),tensor(0.8718),tensor(0.8036),tensor(0.9565),tensor(0.9070),tensor(0.9459),tensor(0.8621),tensor(0.9032),tensor(0.8462),tensor(0.8125),tensor(0.9211),tensor(0.8966),tensor(0.7742),tensor(0.8846),tensor(0.8214),tensor(0.9487),tensor(0.8710),tensor(0.9677),tensor(0.8947),tensor(0.8846),tensor(0.9310),tensor(1.),tensor(0.9130),tensor(0.8889),tensor(0.9167),tensor(0.8421),tensor(0.9500),tensor(1.),tensor(1.),tensor(1.),tensor(0.8824),tensor(0.9048),tensor(0.9615),tensor(1.),tensor(1.),tensor(1.),tensor(0.9167),tensor(1.),tensor(0.9375),tensor(0.9375),tensor(1.),tensor(0.8462),tensor(0.8571),tensor(1.),tensor(0.9091),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(0.8750),tensor(1.)
tensor(0.0274),tensor(0.1150),tensor(0.1741),tensor(0.1984),tensor(0.2453),tensor(0.2655),tensor(0.3008),tensor(0.3348),tensor(0.3339),tensor(0.4000),tensor(0.3990),tensor(0.4318),tensor(0.4554),tensor(0.4741),tensor(0.4831),tensor(0.5077),tensor(0.5350),tensor(0.5829),tensor(0.6187),tensor(0.5472),tensor(0.5882),tensor(0.6418),tensor(0.6400),tensor(0.6726),tensor(0.6132),tensor(0.7129),tensor(0.6628),tensor(0.6854),tensor(0.7500),tensor(0.7250),tensor(0.6630),tensor(0.7273),tensor(0.7532),tensor(0.7344),tensor(0.7869),tensor(0.7541),tensor(0.7705),tensor(0.8000),tensor(0.8966),tensor(0.8113),tensor(0.7619),tensor(0.9074),tensor(0.7755),tensor(0.9020),tensor(0.8250),tensor(0.8333),tensor(0.8222),tensor(0.8980),tensor(0.9524),tensor(0.9024),tensor(0.9714),tensor(0.7333),tensor(0.8571),tensor(1.),tensor(0.8966),tensor(0.9394),tensor(0.8824),tensor(0.7941),tensor(0.9600),tensor(0.9200),tensor(0.7647),tensor(0.8710),tensor(0.8966),tensor(0.9565),tensor(0.9200),tensor(0.9259),tensor(0.9000),tensor(0.9545),tensor(0.8421),tensor(0.9600),tensor(0.9444),tensor(0.9412),tensor(0.9375),tensor(1.),tensor(0.9333),tensor(0.9474),tensor(1.),tensor(0.8929),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(0.8636),tensor(1.),tensor(0.9375),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(0.9231),tensor(1.),tensor(1.),tensor(0.9231),tensor(1.),tensor(1.),tensor(1.),tensor(1.)
tensor(0.0285),tensor(0.1132),tensor(0.1643),tensor(0.2056),tensor(0.2462),tensor(0.2698),tensor(0.3156),tensor(0.3788),tensor(0.3574),tensor(0.4477),tensor(0.4126),tensor(0.4039),tensor(0.4854),tensor(0.5953),tensor(0.4767),tensor(0.5464),tensor(0.4444),tensor(0.5723),tensor(0.5066),tensor(0.5597),tensor(0.5298),tensor(0.6277),tensor(0.6489),tensor(0.6638),tensor(0.5849),tensor(0.7308),tensor(0.6484),tensor(0.6395),tensor(0.7755),tensor(0.7778),tensor(0.7204),tensor(0.7067),tensor(0.7179),tensor(0.7231),tensor(0.7879),tensor(0.8136),tensor(0.8197),tensor(0.8393),tensor(0.7719),tensor(0.8125),tensor(0.8197),tensor(0.7593),tensor(0.8085),tensor(0.8148),tensor(0.8000),tensor(0.8776),tensor(0.8542),tensor(0.8545),tensor(0.8667),tensor(0.8293),tensor(0.7879),tensor(0.8621),tensor(0.7941),tensor(0.8649),tensor(0.9200),tensor(0.7647),tensor(0.9032),tensor(0.8621),tensor(1.),tensor(0.9091),tensor(0.9143),tensor(0.9643),tensor(0.9667),tensor(0.9000),tensor(1.),tensor(0.8929),tensor(0.9524),tensor(0.9600),tensor(1.),tensor(0.7917),tensor(1.),tensor(1.),tensor(1.),tensor(0.7692),tensor(0.8824),tensor(1.),tensor(0.9048),tensor(0.9655),tensor(1.),tensor(1.),tensor(0.9412),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(0.9286),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(0.9474),tensor(1.),tensor(1.),tensor(0.8889),tensor(1.),tensor(0.9333),tensor(1.),tensor(1.),tensor(1.)
tensor(0.0278),tensor(0.1204),tensor(0.1668),tensor(0.1973),tensor(0.2492),tensor(0.2903),tensor(0.3215),tensor(0.3655),tensor(0.3808),tensor(0.3828),tensor(0.3896),tensor(0.4093),tensor(0.4554),tensor(0.4585),tensor(0.5058),tensor(0.5052),tensor(0.5343),tensor(0.5380),tensor(0.5948),tensor(0.5610),tensor(0.5772),tensor(0.5985),tensor(0.6765),tensor(0.6612),tensor(0.6449),tensor(0.5300),tensor(0.6180),tensor(0.7473),tensor(0.7527),tensor(0.6962),tensor(0.7191),tensor(0.7429),tensor(0.7200),tensor(0.6769),tensor(0.7969),tensor(0.8197),tensor(0.8730),tensor(0.8491),tensor(0.8148),tensor(0.7885),tensor(0.7833),tensor(0.8200),tensor(0.7556),tensor(0.8302),tensor(0.8750),tensor(0.8936),tensor(0.8837),tensor(0.8727),tensor(0.8605),tensor(0.9000),tensor(0.8649),tensor(0.8214),tensor(0.8750),tensor(0.9189),tensor(0.9583),tensor(0.9143),tensor(0.8750),tensor(0.8966),tensor(1.),tensor(0.8462),tensor(0.8571),tensor(0.9062),tensor(0.9259),tensor(0.9524),tensor(0.8846),tensor(0.8182),tensor(0.9048),tensor(0.9565),tensor(0.8333),tensor(0.9200),tensor(1.),tensor(1.),tensor(0.9444),tensor(0.7857),tensor(1.),tensor(0.8824),tensor(0.9500),tensor(0.9615),tensor(1.),tensor(0.9000),tensor(1.),tensor(0.9091),tensor(1.),tensor(0.8824),tensor(0.9333),tensor(1.),tensor(0.9333),tensor(1.),tensor(1.),tensor(0.9091),tensor(0.9000),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(0.9286),tensor(1.),tensor(1.),tensor(1.)
tensor(0.0285),tensor(0.1221),tensor(0.1612),tensor(0.2141),tensor(0.2593),tensor(0.2761),tensor(0.3037),tensor(0.3092),tensor(0.3661),tensor(0.4008),tensor(0.4214),tensor(0.4282),tensor(0.4984),tensor(0.5099),tensor(0.5465),tensor(0.5850),tensor(0.5096),tensor(0.5968),tensor(0.5897),tensor(0.5988),tensor(0.5510),tensor(0.5887),tensor(0.6870),tensor(0.6780),tensor(0.6759),tensor(0.7048),tensor(0.7582),tensor(0.6778),tensor(0.7188),tensor(0.6790),tensor(0.7955),tensor(0.6974),tensor(0.7600),tensor(0.7705),tensor(0.8226),tensor(0.7059),tensor(0.8889),tensor(0.8519),tensor(0.7797),tensor(0.8039),tensor(0.9091),tensor(0.8148),tensor(0.8542),tensor(0.8571),tensor(0.8780),tensor(0.8478),tensor(0.7805),tensor(0.8983),tensor(0.8537),tensor(0.8718),tensor(0.9118),tensor(1.),tensor(0.9677),tensor(0.8718),tensor(1.),tensor(0.9167),tensor(0.8824),tensor(0.9259),tensor(0.9583),tensor(0.8889),tensor(0.8611),tensor(0.9355),tensor(0.7857),tensor(0.9545),tensor(0.9355),tensor(1.),tensor(1.),tensor(0.9600),tensor(1.),tensor(0.9200),tensor(0.9412),tensor(1.),tensor(0.9412),tensor(1.),tensor(1.),tensor(0.8947),tensor(1.),tensor(0.9630),tensor(1.),tensor(1.),tensor(1.),tensor(0.9231),tensor(0.9545),tensor(1.),tensor(0.9375),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(0.8750),tensor(1.)
tensor(0.0296),tensor(0.1312),tensor(0.1780),tensor(0.2117),tensor(0.2487),tensor(0.3028),tensor(0.3407),tensor(0.3788),tensor(0.3933),tensor(0.3938),tensor(0.4367),tensor(0.4624),tensor(0.4952),tensor(0.5020),tensor(0.5364),tensor(0.5931),tensor(0.6396),tensor(0.5892),tensor(0.6600),tensor(0.6386),tensor(0.6169),tensor(0.6691),tensor(0.6748),tensor(0.6638),tensor(0.6216),tensor(0.8148),tensor(0.7143),tensor(0.6629),tensor(0.7234),tensor(0.7662),tensor(0.7614),tensor(0.8182),tensor(0.7391),tensor(0.8710),tensor(0.7910),tensor(0.7742),tensor(0.8154),tensor(0.8889),tensor(0.9123),tensor(0.9298),tensor(0.8814),tensor(0.7826),tensor(0.9773),tensor(0.8966),tensor(0.9048),tensor(0.8261),tensor(0.8936),tensor(0.9020),tensor(0.9556),tensor(0.8378),tensor(0.9429),tensor(0.9615),tensor(0.8485),tensor(0.9211),tensor(0.8214),tensor(0.9412),tensor(0.9375),tensor(0.9355),tensor(0.9583),tensor(0.9600),tensor(0.9211),tensor(0.9667),tensor(0.9655),tensor(0.9524),tensor(0.8889),tensor(0.9643),tensor(0.9500),tensor(0.9130),tensor(1.),tensor(0.9583),tensor(0.9444),tensor(0.8947),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(0.9091),tensor(0.9643),tensor(1.),tensor(0.8571),tensor(0.9412),tensor(1.),tensor(0.9444),tensor(1.),tensor(1.),tensor(0.9333),tensor(1.),tensor(0.9231),tensor(0.8571),tensor(1.),tensor(0.9167),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(0.8824),tensor(1.),tensor(1.),tensor(0.9167)
tensor(0.0296),tensor(0.1238),tensor(0.1679),tensor(0.2002),tensor(0.2522),tensor(0.2857),tensor(0.3056),tensor(0.3671),tensor(0.4033),tensor(0.4191),tensor(0.3810),tensor(0.4353),tensor(0.4542),tensor(0.5040),tensor(0.4741),tensor(0.5404),tensor(0.5240),tensor(0.5847),tensor(0.6115),tensor(0.5802),tensor(0.5822),tensor(0.6336),tensor(0.6202),tensor(0.6930),tensor(0.6696),tensor(0.7407),tensor(0.6316),tensor(0.6742),tensor(0.7474),tensor(0.7160),tensor(0.8351),tensor(0.7123),tensor(0.6667),tensor(0.8182),tensor(0.7692),tensor(0.8065),tensor(0.6885),tensor(0.8246),tensor(0.7857),tensor(0.7963),tensor(0.7407),tensor(0.8776),tensor(0.8000),tensor(0.7843),tensor(0.9500),tensor(0.8776),tensor(0.7872),tensor(0.9123),tensor(0.7551),tensor(0.8333),tensor(1.),tensor(0.9643),tensor(0.9259),tensor(0.9474),tensor(0.8667),tensor(0.8824),tensor(0.9000),tensor(0.9394),tensor(0.9231),tensor(0.9167),tensor(0.8611),tensor(0.9310),tensor(0.9091),tensor(1.),tensor(0.9600),tensor(0.9630),tensor(0.8947),tensor(1.),tensor(0.9474),tensor(0.9643),tensor(0.9412),tensor(0.8947),tensor(0.9412),tensor(0.8667),tensor(0.9375),tensor(0.9444),tensor(1.),tensor(1.),tensor(0.8750),tensor(0.9474),tensor(0.9375),tensor(0.8182),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(0.9412),tensor(0.9333),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(0.9167),tensor(0.8750),tensor(1.)
