Country,Number of respondents,Sex with women in previous 12 months (%),Tested for STIs in previous 12 months (%),Had both penile & anal inspection in previous 12 months (%),In steady relationship with a man (%),Had 2 to 10 sex partners in previous 12 months (%),Had over 10 sex partners in previous 12 months (%),Met last non-steady sex partners in sex venues (%),Met last non-steady sexual partners online (%),Had anal sex in previous 12 months (%),Possible HIV transmission risk in previous 12 months (%)
.at (Austria),4085,14,30,6,39,48,24,20,58,85,23
.ba (Bosnia & Herzegovina),150,28,19,2,22,62,10,1,77,80,34
.be (Belgium),3982,8,42,5,46,43,33,26,53,86,25
.bg (Bulgaria),1036,25,29,3,35,49,21,16,66,85,36
.by (Belarus),367,17,43,9,53,57,12,10,68,90,40
.ch (Switzerland),5028,15,32,6,42,46,32,25,58,85,22
.cy (Cyprus),267,17,21,4,29,48,26,16,61,85,34
.cz (Czech Republic),2400,10,18,5,48,49,14,16,55,84,33
.de (Germany),54387,14,28,6,41,47,23,21,60,83,25
.dk (Denmark),1742,13,35,12,35,48,27,21,55,86,30
.ee (Estonia),594,19,22,4,40,51,14,20,46,78,35
.es (Spain),13111,10,37,6,32,42,31,20,58,90,30
.fi (Finland),2026,15,22,8,42,47,16,19,47,78,28
.fr (France),11164,9,40,5,47,37,38,26,58,88,25
.gr (Greece),2944,17,31,5,35,48,27,16,64,86,26
.hr (Croatia),517,15,20,3,36,51,16,13,70,86,36
.hu (Hungary),2067,16,24,6,41,51,18,19,50,85,32
.ie (Republic of Ireland),2194,14,38,26,29,50,24,18,57,84,33
.it (Italy),15984,13,30,5,36,44,30,22,59,88,30
.lt (Lithuania),595,16,17,3,44,49,10,14,48,79,40
.lu (Luxembourg),280,15,27,3,40,46,27,23,62,84,21
.lv (Latvia),708,20,26,5,45,54,15,16,54,83,38
.md (Moldova),117,21,37,6,43,47,15,11,65,94,37
.mk (FYR Macedonia),117,24,24,4,26,63,16,11,63,86,31
.mt (Malta),119,12,30,24,37,43,33,20,55,83,32
.nl (Netherlands),3787,8,53,25,47,44,37,30,51,86,30
.no (Norway),2096,11,36,13,34,52,16,13,57,83,32
.pl (Poland),2746,8,25,4,42,48,20,15,60,87,32
.pt (Portugal),5187,15,28,3,37,51,20,21,56,91,30
.ro (Romania),2327,26,32,3,37,58,20,11,63,85,42
.rs (Serbia),1106,21,24,2,32,57,15,9,67,86,33
.ru (Russia),5035,15,44,10,52,52,20,14,61,91,35
.se (Sweden),3132,13,38,19,39,49,20,18,57,78,30
.si (Slovenia),990,24,18,5,35,51,12,16,65,79,24
.sk (Slovakia),586,10,15,3,40,49,11,12,64,83,37
.tr (Turkey),1807,20,16,3,34,42,34,6,71,87,49
.ua (Ukraine),1711,20,35,6,49,59,13,9,64,88,36
.uk (United Kingdom),17718,10,44,27,37,46,30,21,57,84,32
