rows,cols,strengths
0,675,2
0,762,3
0,1114,1
0,7140,1
0,31074,1
1,217,1
1,715,1
2,476,1
2,2114,1
2,4119,1
2,8795,1
2,16828,4
2,21821,1
3,1624,1
3,27881,1
4,333,1
4,559,1
4,1895,2
4,2623,1
4,36687,1
5,2952,1
6,1738,1
6,2822,3
6,5285,1
6,29705,2
7,47,1
7,3311,1
7,4249,1
7,5378,1
7,22486,3
8,94,2
8,428,1
8,681,1
8,3104,2
8,3960,1
9,1436,1
9,35651,2
10,15247,1
11,577,1
11,1138,1
11,1860,1
11,2399,1
11,12098,1
11,30702,2
13,198,1
13,463,2
13,3345,1
13,70286,1
14,1622,1
14,2349,1
14,3063,1
14,4425,1
14,16973,1
14,22711,2
15,1320,1
15,5604,1
15,5979,1
15,39562,2
16,9899,1
17,29,1
17,2585,2
17,5020,1
17,9939,1
18,128,4
18,440,1
18,449,1
18,1414,4
18,2404,1
18,5723,1
18,20631,1
19,10,1
19,1215,2
19,1701,1
19,1781,2
19,1910,1
19,3727,1
19,4599,3
19,13128,3
19,30364,4
19,54333,1
20,819,2
20,1290,1
20,4732,2
20,20196,2
21,410,1
21,3630,1
21,4244,1
22,75,1
22,2976,1
22,12629,1
22,24656,1
23,1374,1
23,1844,1
23,30458,2
25,1540,1
25,3107,1
25,4772,1
25,7128,1
25,9021,1
25,72060,8
26,100,1
26,719,1
26,2365,1
26,4172,2
26,9097,1
26,9102,1
26,34091,2
26,34749,2
26,39011,1
27,407,1
27,15599,2
27,22215,1
28,2044,1
28,4075,1
28,48999,1
29,1882,1
29,2368,1
29,13446,1
29,39651,2
29,81305,1
30,1299,1
30,1930,1
30,10952,1
30,36379,1
31,6221,1
32,1436,1
32,1483,1
32,2183,1
32,2188,1
32,2316,1
32,3263,1
32,3703,1
32,5171,1
33,1121,1
33,2717,1
33,4047,1
33,13692,1
33,46502,2
34,761,1
34,1163,1
34,1609,1
34,7556,1
35,1054,1
35,1438,1
35,1949,1
35,6291,1
35,41202,3
36,355,1
36,14311,6
37,3572,1
37,6607,2
38,193,2
38,1677,1
38,6866,1
38,19058,1
39,1068,1
39,7387,1
39,9794,2
39,12299,6
40,1269,1
40,1486,1
40,4002,1
40,4041,1
40,4714,1
40,11395,1
40,47913,1
41,305,1
41,329,1
41,485,1
41,3689,1
41,6372,1
41,6674,2
41,17531,1
41,26470,1
41,27248,1
42,5672,2
42,7311,1
42,45258,1
43,9,1
43,4563,1
43,13575,1
43,35861,2
44,608,1
44,13310,1
44,26843,1
44,74016,1
45,939,1
45,23389,3
46,1129,2
46,3777,1
46,11061,1
46,27650,3
46,29725,1
47,1799,5
47,4542,1
47,26985,1
47,51199,2
48,1353,1
48,3639,1
49,221,1
49,684,1
49,3364,3
49,3501,2
49,4438,1
49,7188,2
50,241,1
50,6469,1
50,12044,1
50,57495,1
51,1506,1
51,4172,3
51,4256,1
51,10032,2
51,11442,1
52,221,1
52,936,1
52,2542,1
52,3305,1
52,5175,1
52,10769,1
52,12744,1
52,21950,2
52,28488,1
52,33190,2
53,28542,5
54,8725,1
54,25190,1
55,320,1
55,19871,1
55,23615,3
55,30337,2
56,599,2
56,1733,3
56,27515,1
56,42909,1
57,507,1
57,1106,1
58,2534,1
58,2593,1
58,3904,2
58,81365,1
59,406,1
59,2033,1
59,22014,1
60,3583,2
60,6279,1
60,22104,2
60,38796,3
61,103,1
